TrueLabel,PredLabel,Count
0,0,269
0,1,47
0,2,519
0,3,55
0,4,38
0,5,303
0,6,523
0,7,246
0,8,0
0,9,0
1,0,239
1,1,68
1,2,651
1,3,216
1,4,48
1,5,234
1,6,56
1,7,234
1,8,0
1,9,0
2,0,1843
2,1,340
2,2,3768
2,3,1566
2,4,353
2,5,2181
2,6,379
2,7,1824
2,8,10
2,9,0
3,0,2317
3,1,431
3,2,4668
3,3,17920
3,4,548
3,5,3445
3,6,1656
3,7,2392
3,8,15
3,9,1
4,0,269
4,1,49
4,2,557
4,3,364
4,4,888
4,5,342
4,6,15434
4,7,266
4,8,14
4,9,1
5,0,53
5,1,8
5,2,150
5,3,197
5,4,23
5,5,39444
5,6,75
5,7,49
5,8,0
5,9,1
6,0,0
6,1,0
6,2,21
6,3,450
6,4,211
6,5,8
6,6,55255
6,7,50
6,8,5
6,9,0
7,0,319
7,1,64
7,2,634
7,3,1192
7,4,78
7,5,361
7,6,466
7,7,7377
7,8,0
7,9,0
8,0,0
8,1,0
8,2,261
8,3,247
8,4,18
8,5,12
8,6,381
8,7,24
8,8,189
8,9,1
9,0,0
9,1,0
9,2,2
9,3,90
9,4,1
9,5,7
9,6,15
9,7,0
9,8,0
9,9,15
